年齢,男,女,計
0,13,18,31
1,19,18,37
2,17,9,26
3,16,19,35
4,18,12,30
5,24,12,36
6,16,24,40
7,18,24,42
8,14,11,25
9,15,16,31
10,14,17,31
11,17,19,36
12,10,14,24
13,17,14,31
14,20,13,33
15,5,16,21
16,14,12,26
17,12,12,24
18,15,18,33
19,43,25,68
20,43,29,72
21,40,32,72
22,53,48,101
23,58,50,108
24,77,48,125
25,78,45,123
26,90,50,140
27,87,50,137
28,89,45,134
29,78,52,130
30,69,42,111
31,58,37,95
32,53,39,92
33,48,34,82
34,54,31,85
35,29,23,52
36,23,18,41
37,29,24,53
38,26,23,49
39,15,24,39
40,22,30,52
41,29,24,53
42,20,22,42
43,21,15,36
44,15,28,43
45,30,25,55
46,22,26,48
47,25,22,47
48,14,18,32
49,19,20,39
50,18,19,37
51,19,20,39
52,12,23,35
53,19,23,42
54,11,17,28
55,23,13,36
56,7,8,15
57,14,10,24
58,20,5,25
59,9,7,16
60,8,5,13
61,10,5,15
62,9,8,17
63,11,3,14
64,12,7,19
65,1,6,7
66,6,6,12
67,4,2,6
68,2,5,7
69,3,1,4
70,1,2,3
71,2,3,5
72,6,,6
73,1,1,2
74,3,,3
75,,2,2
76,2,1,3
77,1,,1
78,,,
79,1,1,2
80,,1,1
81,1,,1
82,,,
83,,4,4
84,2,,2
85,,,
86,,,
87,,,
88,,,
89,1,,1
90,,,
91,,,
92,,,
93,,1,1
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,1,1
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
