年齢,男,女,計
0,15,20,35
1,22,16,38
2,13,8,21
3,14,18,32
4,21,13,34
5,23,12,35
6,14,25,39
7,21,23,44
8,13,10,23
9,13,18,31
10,15,18,33
11,16,19,35
12,13,13,26
13,14,11,25
14,21,17,38
15,6,16,22
16,15,10,25
17,15,12,27
18,14,22,36
19,43,22,65
20,38,31,69
21,40,29,69
22,55,53,108
23,59,54,113
24,73,39,112
25,75,44,119
26,84,52,136
27,89,47,136
28,79,42,121
29,79,52,131
30,74,43,117
31,52,35,87
32,48,41,89
33,52,32,84
34,46,26,72
35,27,23,50
36,25,20,45
37,35,25,60
38,24,27,51
39,14,20,34
40,27,34,61
41,19,23,42
42,22,19,41
43,25,18,43
44,18,26,44
45,29,30,59
46,22,21,43
47,23,23,46
48,14,19,33
49,22,21,43
50,20,20,40
51,14,20,34
52,17,23,40
53,15,22,37
54,12,15,27
55,19,15,34
56,11,7,18
57,15,9,24
58,20,5,25
59,6,9,15
60,8,3,11
61,11,5,16
62,9,7,16
63,11,4,15
64,10,7,17
65,1,6,7
66,8,6,14
67,2,4,6
68,4,3,7
69,1,1,2
70,1,2,3
71,2,3,5
72,7,,7
73,,1,1
74,3,,3
75,,2,2
76,2,1,3
77,1,,1
78,,,
79,1,1,2
80,,,
81,1,,1
82,,,
83,,4,4
84,2,,2
85,,,
86,,,
87,,,
88,,,
89,1,,1
90,,,
91,,,
92,,,
93,,1,1
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,1,1
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
