年齢,男,女,計
0,14,21,35
1,20,16,36
2,13,8,21
3,17,19,36
4,19,12,31
5,24,12,36
6,14,24,38
7,21,25,46
8,13,10,23
9,14,17,31
10,13,17,30
11,18,21,39
12,10,12,22
13,16,13,29
14,21,17,38
15,5,13,18
16,15,12,27
17,14,12,26
18,14,20,34
19,45,22,67
20,42,32,74
21,41,29,70
22,52,52,104
23,58,49,107
24,78,43,121
25,78,47,125
26,92,53,145
27,89,45,134
28,82,41,123
29,77,54,131
30,77,43,120
31,52,37,89
32,52,37,89
33,53,35,88
34,50,28,78
35,28,22,50
36,24,20,44
37,32,24,56
38,24,24,48
39,15,21,36
40,24,33,57
41,27,24,51
42,21,21,42
43,21,15,36
44,17,26,43
45,30,28,58
46,21,23,44
47,24,24,48
48,15,19,34
49,21,18,39
50,18,18,36
51,17,23,40
52,14,23,37
53,16,20,36
54,13,18,31
55,21,14,35
56,10,7,17
57,14,11,25
58,19,5,24
59,8,6,14
60,8,6,14
61,11,5,16
62,8,7,15
63,11,3,14
64,11,7,18
65,1,6,7
66,8,6,14
67,2,3,5
68,4,4,8
69,1,1,2
70,1,2,3
71,2,3,5
72,6,,6
73,1,1,2
74,3,,3
75,,2,2
76,2,1,3
77,1,,1
78,,,
79,1,1,2
80,,1,1
81,1,,1
82,,,
83,,4,4
84,2,,2
85,,,
86,,,
87,,,
88,,,
89,1,,1
90,,,
91,,,
92,,,
93,,1,1
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,1,1
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
