年齢,男,女,計
0,13,15,28
1,20,20,40
2,18,10,28
3,14,19,33
4,18,10,28
5,25,14,39
6,15,22,37
7,20,25,45
8,11,11,22
9,17,15,32
10,13,15,28
11,18,22,40
12,10,14,24
13,18,13,31
14,17,13,30
15,7,17,24
16,14,11,25
17,12,13,25
18,14,16,30
19,42,27,69
20,44,30,74
21,43,36,79
22,56,49,105
23,59,54,113
24,85,48,133
25,79,45,124
26,104,49,153
27,88,47,135
28,100,45,145
29,78,50,128
30,74,39,113
31,60,41,101
32,57,35,92
33,49,37,86
34,55,33,88
35,27,23,50
36,28,16,44
37,31,24,55
38,24,25,49
39,19,24,43
40,20,25,45
41,30,28,58
42,18,20,38
43,21,19,40
44,18,25,43
45,29,27,56
46,22,26,48
47,24,22,46
48,15,18,33
49,21,20,41
50,17,20,37
51,20,20,40
52,10,22,32
53,20,24,44
54,12,16,28
55,22,15,37
56,8,8,16
57,14,7,21
58,20,8,28
59,9,7,16
60,5,5,10
61,12,3,15
62,10,10,20
63,11,3,14
64,11,7,18
65,2,6,8
66,5,5,10
67,5,2,7
68,2,4,6
69,3,2,5
70,1,1,2
71,2,4,6
72,6,,6
73,1,1,2
74,2,,2
75,1,2,3
76,2,1,3
77,1,,1
78,,,
79,1,,1
80,,2,2
81,1,,1
82,,,
83,,3,3
84,2,1,3
85,,,
86,,,
87,,,
88,,,
89,1,,1
90,,,
91,,,
92,,,
93,,1,1
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,1,1
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
