年齢,男,女,計
0,298,259,557
1,320,289,609
2,314,268,582
3,330,304,634
4,341,294,635
5,363,304,667
6,360,336,696
7,382,364,746
8,385,337,722
9,392,364,756
10,378,364,742
11,396,342,738
12,397,349,746
13,442,395,837
14,416,435,851
15,456,407,863
16,446,415,861
17,470,396,866
18,418,460,878
19,430,416,846
20,466,405,871
21,475,431,906
22,389,404,793
23,404,369,773
24,436,384,820
25,353,323,676
26,394,364,758
27,362,350,712
28,425,373,798
29,369,357,726
30,367,332,699
31,362,351,713
32,373,334,707
33,379,363,742
34,424,379,803
35,444,411,855
36,446,432,878
37,445,411,856
38,458,437,895
39,508,474,982
40,557,488,1045
41,548,468,1016
42,514,485,999
43,577,537,1114
44,577,559,1136
45,641,585,1226
46,648,626,1274
47,733,654,1387
48,786,731,1517
49,768,773,1541
50,774,745,1519
51,754,708,1462
52,696,681,1377
53,644,613,1257
54,598,592,1190
55,598,561,1159
56,528,475,1003
57,511,502,1013
58,564,569,1133
59,506,474,980
60,485,514,999
61,456,480,936
62,504,529,1033
63,497,516,1013
64,498,523,1021
65,458,562,1020
66,507,509,1016
67,500,538,1038
68,505,569,1074
69,532,609,1141
70,592,612,1204
71,573,682,1255
72,656,777,1433
73,710,834,1544
74,775,889,1664
75,815,965,1780
76,669,818,1487
77,361,461,822
78,495,578,1073
79,481,608,1089
80,465,504,969
81,517,645,1162
82,338,520,858
83,298,450,748
84,231,377,608
85,252,393,645
86,225,379,604
87,236,441,677
88,154,330,484
89,128,327,455
90,114,281,395
91,101,244,345
92,69,228,297
93,36,180,216
94,40,159,199
95,30,129,159
96,22,110,132
97,15,74,89
98,6,40,46
99,7,40,47
100,2,18,20
101,2,18,20
102,3,10,13
103,,5,5
104,,4,4
105,,,
106,,1,1
107,,,
108,,,
109,,,
