年齢,男,女,計
0,267,270,537
1,325,270,595
2,320,288,608
3,318,274,592
4,346,315,661
5,367,312,679
6,355,307,662
7,374,375,749
8,397,335,732
9,395,365,760
10,368,354,722
11,395,356,751
12,402,334,736
13,425,399,824
14,430,420,850
15,414,424,838
16,481,406,887
17,446,403,849
18,433,437,870
19,440,414,854
20,449,430,879
21,469,405,874
22,413,411,824
23,394,355,749
24,412,397,809
25,376,336,712
26,361,354,715
27,386,363,749
28,397,378,775
29,395,336,731
30,365,344,709
31,362,365,727
32,371,321,692
33,380,362,742
34,394,369,763
35,452,403,855
36,441,422,863
37,475,418,893
38,454,441,895
39,467,461,928
40,551,497,1048
41,551,466,1017
42,534,462,996
43,561,534,1095
44,570,554,1124
45,615,574,1189
46,651,615,1266
47,720,628,1348
48,773,737,1510
49,787,745,1532
50,788,785,1573
51,761,708,1469
52,696,706,1402
53,654,607,1261
54,600,598,1198
55,603,612,1215
56,586,498,1084
57,479,450,929
58,567,568,1135
59,504,492,996
60,497,512,1009
61,475,492,967
62,462,525,987
63,525,502,1027
64,492,518,1010
65,461,562,1023
66,487,519,1006
67,504,533,1037
68,511,567,1078
69,500,575,1075
70,587,612,1199
71,576,691,1267
72,632,728,1360
73,702,840,1542
74,783,859,1642
75,786,959,1745
76,721,922,1643
77,408,480,888
78,449,527,976
79,498,633,1131
80,449,504,953
81,513,615,1128
82,363,545,908
83,308,474,782
84,233,379,612
85,245,389,634
86,226,359,585
87,231,439,670
88,166,346,512
89,127,338,465
90,120,283,403
91,102,242,344
92,70,221,291
93,39,175,214
94,34,162,196
95,31,125,156
96,23,110,133
97,13,81,94
98,7,36,43
99,6,43,49
100,2,16,18
101,2,16,18
102,2,10,12
103,,7,7
104,,4,4
105,,,
106,,1,1
107,,,
108,,,
109,,,
