年齢,男,女,計
0,17,21,38
1,20,14,34
2,10,9,19
3,18,18,36
4,24,14,38
5,18,14,32
6,15,24,39
7,20,25,45
8,13,9,22
9,13,16,29
10,17,18,35
11,14,21,35
12,16,12,28
13,14,9,23
14,19,18,37
15,7,19,26
16,14,7,21
17,15,11,26
18,14,22,36
19,39,22,61
20,40,29,69
21,42,29,71
22,53,46,99
23,59,47,106
24,69,42,111
25,78,42,120
26,78,52,130
27,95,52,147
28,74,38,112
29,84,49,133
30,75,48,123
31,52,33,85
32,44,38,82
33,57,32,89
34,44,25,69
35,26,23,49
36,27,22,49
37,32,28,60
38,24,28,52
39,17,17,34
40,26,34,60
41,18,22,40
42,21,19,40
43,27,18,45
44,19,29,48
45,25,27,52
46,22,22,44
47,25,20,45
48,12,22,34
49,22,22,44
50,21,20,41
51,13,18,31
52,19,23,42
53,14,23,37
54,15,15,30
55,16,14,30
56,12,7,19
57,14,9,23
58,20,5,25
59,5,9,14
60,12,3,15
61,10,5,15
62,8,8,16
63,11,3,14
64,9,7,16
65,1,7,8
66,8,5,13
67,2,4,6
68,4,3,7
69,1,1,2
70,1,2,3
71,3,3,6
72,6,,6
73,,1,1
74,3,,3
75,,2,2
76,3,1,4
77,,,
78,,,
79,1,1,2
80,,,
81,1,,1
82,,,
83,1,4,5
84,1,,1
85,,,
86,,,
87,,,
88,,,
89,1,1,2
90,,,
91,,,
92,,,
93,,1,1
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,1,1
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
