年齢,男,女,計
0,280,261,541
1,315,285,600
2,328,277,605
3,310,289,599
4,357,311,668
5,364,304,668
6,357,324,681
7,374,358,732
8,401,347,748
9,384,366,750
10,370,348,718
11,385,352,737
12,413,339,752
13,429,405,834
14,428,422,850
15,429,409,838
16,464,418,882
17,461,397,858
18,424,447,871
19,442,408,850
20,440,440,880
21,482,405,887
22,399,394,793
23,401,356,757
24,420,407,827
25,354,345,699
26,380,342,722
27,376,367,743
28,407,368,775
29,378,349,727
30,370,331,701
31,365,367,732
32,379,330,709
33,375,359,734
34,399,377,776
35,447,405,852
36,453,437,890
37,465,407,872
38,442,445,887
39,475,463,938
40,567,492,1059
41,542,473,1015
42,538,466,1004
43,560,535,1095
44,580,544,1124
45,607,587,1194
46,666,621,1287
47,729,639,1368
48,766,742,1508
49,772,722,1494
50,784,782,1566
51,762,707,1469
52,709,711,1420
53,640,599,1239
54,594,597,1191
55,617,590,1207
56,553,490,1043
57,492,471,963
58,568,575,1143
59,499,488,987
60,501,516,1017
61,462,480,942
62,475,515,990
63,517,516,1033
64,500,533,1033
65,454,557,1011
66,504,497,1001
67,491,547,1038
68,508,567,1075
69,517,588,1105
70,592,604,1196
71,573,698,1271
72,650,733,1383
73,697,849,1546
74,773,868,1641
75,792,971,1763
76,713,878,1591
77,381,468,849
78,468,550,1018
79,483,633,1116
80,466,491,957
81,516,634,1150
82,346,541,887
83,306,457,763
84,236,382,618
85,247,387,634
86,217,363,580
87,238,452,690
88,163,338,501
89,126,326,452
90,115,289,404
91,104,238,342
92,66,224,290
93,41,175,216
94,34,156,190
95,30,128,158
96,26,111,137
97,11,77,88
98,7,35,42
99,7,43,50
100,2,17,19
101,2,14,16
102,2,11,13
103,,7,7
104,,4,4
105,,,
106,,1,1
107,,,
108,,,
109,,,
